split,year,team_name,wins,losses,num_games,win_percentage
vs. FBS Winning,2021,Air Force,3,3,6,0.5
vs. FBS Non-Winning,2021,Air Force,6,0,6,1.0
vs. BCS AQ,2021,Air Force,2,0,2,1.0
vs. BCS non-AQ,2021,Air Force,7,3,10,0.7
vs. FBS Power 5,2021,Air Force,1,0,1,1.0
vs. FBS non-Power 5,2021,Air Force,8,3,11,0.7272727272727273
in August/September,2021,Air Force,3,1,4,0.75
in October,2021,Air Force,3,1,4,0.75
in November,2021,Air Force,3,1,4,0.75
in December/January,2021,Air Force,1,0,1,1.0
All Games,2022,Air Force,10,3,13,0.7692307692307693
at Home,2022,Air Force,6,1,7,0.8571428571428571
on Road/Neutral Site,2022,Air Force,4,2,6,0.6666666666666666
vs. Conference,2022,Air Force,5,3,8,0.625
vs. Non-Conference,2022,Air Force,5,0,5,1.0
vs. Ranked (AP),2022,Air Force,0,0,0,
vs. Unranked (AP),2022,Air Force,10,3,13,0.7692307692307693
vs. FBS (I-A),2022,Air Force,9,3,12,0.75
vs. FCS (I-AA),2022,Air Force,1,0,1,1.0
vs. FBS Winning,2022,Air Force,1,2,3,0.3333333333333333
vs. FBS Non-Winning,2022,Air Force,8,1,9,0.8888888888888888
vs. BCS AQ,2022,Air Force,3,0,3,1.0
vs. BCS non-AQ,2022,Air Force,6,3,9,0.6666666666666666
vs. FBS Power 5,2022,Air Force,2,0,2,1.0
vs. FBS non-Power 5,2022,Air Force,7,3,10,0.7
in August/September,2022,Air Force,3,1,4,0.75
in October,2022,Air Force,2,2,4,0.5
in November,2022,Air Force,4,0,4,1.0
in December/January,2022,Air Force,1,0,1,1.0
All Games,2009,Akron,3,9,12,0.25
at Home,2009,Akron,3,3,6,0.5
on Road/Neutral Site,2009,Akron,0,6,6,0.0
vs. Conference,2009,Akron,2,6,8,0.25
vs. Non-Conference,2009,Akron,1,3,4,0.25
vs. Ranked (AP),2009,Akron,0,2,2,0.0
vs. Unranked (AP),2009,Akron,3,7,10,0.3
vs. FBS (I-A),2009,Akron,2,9,11,0.18181818181818182
vs. FCS (I-AA),2009,Akron,1,0,1,1.0
vs. FBS Winning,2009,Akron,0,6,6,0.0
vs. FBS Non-Winning,2009,Akron,2,3,5,0.4
vs. BCS AQ,2009,Akron,0,3,3,0.0
vs. BCS non-AQ,2009,Akron,2,6,8,0.25
vs. FBS Power 5,2009,Akron,0,2,2,0.0
vs. FBS non-Power 5,2009,Akron,2,7,9,0.2222222222222222
in August/September,2009,Akron,1,3,4,0.25
in October,2009,Akron,0,4,4,0.0
in November,2009,Akron,2,2,4,0.5
in December/January,2009,Akron,0,0,0,
All Games,2010,Akron,1,11,12,0.08333333333333333
at Home,2010,Akron,1,5,6,0.16666666666666666
on Road/Neutral Site,2010,Akron,0,6,6,0.0
vs. Conference,2010,Akron,1,7,8,0.125
vs. Non-Conference,2010,Akron,0,4,4,0.0
vs. Ranked (AP),2010,Akron,0,0,0,
vs. Unranked (AP),2010,Akron,1,11,12,0.08333333333333333
vs. FBS (I-A),2010,Akron,1,10,11,0.09090909090909091
vs. FCS (I-AA),2010,Akron,0,1,1,0.0
vs. FBS Winning,2010,Akron,0,5,5,0.0
vs. FBS Non-Winning,2010,Akron,1,5,6,0.16666666666666666
vs. BCS AQ,2010,Akron,0,3,3,0.0
vs. BCS non-AQ,2010,Akron,1,7,8,0.125
vs. FBS Power 5,2010,Akron,0,2,2,0.0
vs. FBS non-Power 5,2010,Akron,1,8,9,0.1111111111111111
in August/September,2010,Akron,0,4,4,0.0
in October,2010,Akron,0,5,5,0.0
in November,2010,Akron,1,2,3,0.3333333333333333
in December/January,2010,Akron,0,0,0,
All Games,2011,Akron,1,11,12,0.08333333333333333
at Home,2011,Akron,1,5,6,0.16666666666666666
on Road/Neutral Site,2011,Akron,0,6,6,0.0
vs. Conference,2011,Akron,0,8,8,0.0
vs. Non-Conference,2011,Akron,1,3,4,0.25
vs. Ranked (AP),2011,Akron,0,1,1,0.0
vs. Unranked (AP),2011,Akron,1,10,11,0.09090909090909091
vs. FBS (I-A),2011,Akron,0,11,11,0.0
vs. FCS (I-AA),2011,Akron,1,0,1,1.0
vs. FBS Winning,2011,Akron,0,5,5,0.0
vs. FBS Non-Winning,2011,Akron,0,6,6,0.0
vs. BCS AQ,2011,Akron,0,2,2,0.0
vs. BCS non-AQ,2011,Akron,0,9,9,0.0
vs. FBS Power 5,2011,Akron,0,1,1,0.0
vs. FBS non-Power 5,2011,Akron,0,10,10,0.0
in August/September,2011,Akron,1,3,4,0.25
in October,2011,Akron,0,4,4,0.0
in November,2011,Akron,0,4,4,0.0
in December/January,2011,Akron,0,0,0,
All Games,2012,Akron,1,11,12,0.08333333333333333
at Home,2012,Akron,1,5,6,0.16666666666666666
on Road/Neutral Site,2012,Akron,0,6,6,0.0
vs. Conference,2012,Akron,0,8,8,0.0
vs. Non-Conference,2012,Akron,1,3,4,0.25
vs. Ranked (AP),2012,Akron,0,1,1,0.0
vs. Unranked (AP),2012,Akron,1,10,11,0.09090909090909091
vs. FBS (I-A),2012,Akron,0,11,11,0.0
vs. FCS (I-AA),2012,Akron,1,0,1,1.0
vs. FBS Winning,2012,Akron,0,7,7,0.0
vs. FBS Non-Winning,2012,Akron,0,4,4,0.0
vs. BCS AQ,2012,Akron,0,1,1,0.0
vs. BCS non-AQ,2012,Akron,0,10,10,0.0
